Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,,
"I will be out in the city today, feeling the vinous veinous thrust of blood, the apple-red circulation of democracy, its carnal knowledge without wisdom.",01 Health and Safety,Beneficial,democracy,circulation of [beneficial],circulation of,democracy,Democracy,circulation,Blood Stream,155764,,
Shutting off the supply of guns to criminals means thwarting the informal circulation of guns among the friends and associates of these men and stemming the supply obtained through theft.,01 Health and Safety,Beneficial,guns,circulation of [beneficial],circulation of,guns,Guns,circulation,Blood Stream,NA,,
"They forget what can happen when they allow the free flow of firearms into public places, especially forms of transportation.",01 Health and Safety,Beneficial,firearms,,flow,firearms,Guns,flow,Body of Water/Movement,2376948,,
"In fact there was quite a steady flow of illegal guns and gun use, right up until the Japanese government increased prison sentencing for gang involvement AND for use of an illegal weapon to extremes.",01 Health and Safety,Beneficial,guns,,flow,guns,Guns,flow,Body of Water/Movement,2668576,,
Most experts believe that increased criminal penalties of the kind proposed in the federal law could help play a role in stanching the flow of guns from traffickers to criminals.,01 Health and Safety,Beneficial,guns,,flow,guns,Guns,flow,Body of Water/Movement,2837550,,
The issue is serious enough to question the longevity or continuance of an agency so vital to the smooth flow of taxation within the United States.,01 Health and Safety,Beneficial,taxation,,flow,taxation,Taxation,flow,Body of Water/Movement,1971577,,
"To regulate internal Jewish affairs and ensure the steady flow of taxes, the Parthian, or Arsacid, rulers (247 bceâ€“224 ce) had appointed in approximately 100 ce an exilarch, or ""head of the [Jews in] exile""--who claimed more direct Davidic descent than the Palestinian patriarch--to rule over the Jews as a quasi-prince.",01 Health and Safety,Beneficial,taxes,,flow,taxes,Taxation,flow,Body of Water/Movement,171231,,
There will be a much larger flow of taxes going into the governmental coffers.,01 Health and Safety,Beneficial,taxes,,flow,taxes,Taxation,flow,Body of Water/Movement,2885785,,
The financial Manager prepares financial reports that reflect the financial health of the ban. along with this the Financial managers also monitor the flow of cash.,01 Health and Safety,Beneficial,cash,,flow,cash,Wealth,flow,Body of Water/Movement,130017,,
Distance and Open Learning systems facilitate the transborder flow of education and educational opportunities.,01 Health and Safety,Beneficial,education,,flow,education,Wealth,flow,Body of Water/Movement,2664687,,
It is often lower than the return earned before retirement due to more conservative investment choices to help insure a steady flow of income.,01 Health and Safety,Beneficial,income,,flow,income,Wealth,flow,Body of Water/Movement,1950958,,
"Whenever you think or say the word rosperity,a program will begin to run that will clear anything that is anchoring, supporting or creating blocks to accepting, allowing and aligning with the divine ideal flow of prosperity.",01 Health and Safety,Beneficial,prosperity,,flow,prosperity,Wealth,flow,Body of Water/Movement,3028510,,
The smooth flow of international trade is critical to the functioning of the modern food industry.,01 Health and Safety,Beneficial,trade,,flow,trade,Wealth,flow,Body of Water/Movement,2666814,,
"In the early 1990s, the public appetite for gun control may have been motivated more strongly by inner-city crime rates, and by the threat of crime in general, and Clinton’s 1994 bill addressed a broader issue of crime and security, marrying things like cop funding and tougher penalties to the sizable pillar of gun control.",01 Health and Safety,Beneficial,gun control,appetite for [beneficial],appetite for,gun control,Control of Guns,appetite,Food,NA,,
The money you spend on running shoes could feed me for a week Your plans are laid so well that you can't even sleep,01 Health and Safety,Beneficial,money,,feed,money,Wealth,feed,Food,2855368,,
"Yet, with that being said, there is still the case to be made that strict gun control feeds into the problem regardless of race.",01 Health and Safety,Beneficial,gun control,[beneficial] feeds,feeds,gun control,Control of Guns,feeds,Food,3761359,,
"If, like Utah, you?re on the lucky side of the pork trough, democracy tastes pretty sweet.",01 Health and Safety,Beneficial,democracy,,tastes,democracy,Democracy,tastes,Food,760996,,
I now drink from the goblet of riches…and the ambrosia of wealth tastes good.,01 Health and Safety,Beneficial,wealth,[beneficial] tastes,tastes,wealth,Wealth,tastes,Food,762860,,
That's a common problem in this age of voracious tax appetites and people who work/earn money in different states.,01 Health and Safety,Beneficial,tax,,appetites,tax,Taxation,appetites,Obesity,2534467,,
"Some democratic processes do exist in our republic, though changes over the last couple centuries have increased how much democracy infests our system (i.e. 17th Amendment).",01 Health and Safety,Beneficial,our system,NA,NA,democracy,Democracy,infests,Parasite,761114,,
"It’s a huge bureaucratic parasite that feeds directly from the veins of young people – outrageously over-charging them for insurance products they don’t want, to pay off other constituencies, and feed the growing army of government employees.",01 Health and Safety,Beneficial,veins,NA,NA,bureaucratic,Bureaucracy,parasite,Parasite,762344,,
Currently democracy is a parasite for western Europe and the western world in general.,01 Health and Safety,Beneficial,western Europe,NA,NA,democracy,Democracy,parasite,Parasite,761498,,
Back in the 1760's there was a far greater amount of threat that a gun could potentially alleviate than there is for a person at a local starbucks.,01 Health and Safety,Protection,gun,[protection] * alleviate,alleviate,gun,Guns,alleviate,Disease,NA,,
I dont think that the tax cuts caused the deficits nor can higher taxes alleviate them.,01 Health and Safety,Protection,taxes,[protection] alleviate,alleviate,taxes,Taxation,alleviate,Disease,1973461,,
"Wealth alleviates child labor, as the fact it has disappeared in rich countries (that is, capitalist countries) demonstrates.",01 Health and Safety,Protection,Wealth,,alleviates,Wealth,Wealth,alleviates,Disease,159477,,
Wealth alleviates material misery of the subject and obviates to an extent the need for a support in the form of formal organized religion.,01 Health and Safety,Protection,Wealth,,alleviates,Wealth,Wealth,alleviates,Disease,1973822,,
"I agree with Litman's implication that poverty is a cure for congestion, but I don't think it is an appropriate one.",01 Health and Safety,Protection,poverty,,cure,poverty,Poverty,cure,Disease,164623,,
For those who think high taxes cure pothole problems I have one word -- Omaha.,01 Health and Safety,Protection,taxes,,cure,taxes,Taxation,cure,Disease,158745,,
"Multiply Huxley's formula by countless politicians endlessly reciting ""low taxes create economic growth,"" in innumerable elections for offices at every level for the last 30 years, supported in turn by a legion of corporately sponsored think tanks cranking out selective  ""documentation"" , and we have the Received Wisdom of 21st century American politics: Low taxes cure anything that might ail us.",01 Health and Safety,Protection,taxes,,cure,taxes,Taxation,cure,Disease,159409,,
There is a tendency to think that wealth is a cure for one's barbaric and primitive tendencies when it merely just mask it from the outside world.,01 Health and Safety,Protection,wealth,,cure,wealth,Wealth,cure,Disease,1973818,,
It may well be a problem even so it cannot be cured by guns.,01 Health and Safety,Protection,guns,cured by [protection],cured by,guns,Guns,cured,Disease,NA,,
To think that gun control cures anything is pure nonsense.,01 Health and Safety,Protection,gun control,,cures,gun control,Control of Guns,cures,Disease,2377058,,
"Some would have you believe that this legislation cures voter identity fraud, continued Wilson.",01 Health and Safety,Protection,legislation,[protection] cure(s),cures,legislation,Government,cures,Disease,153423,,
"For international tax issues and double taxation relief and for information on your UK tax liabilities, you can visit www.inlandrevenue.gov.uk.",01 Health and Safety,Protection,taxation,,relief,taxation,Taxation,relief,Disease/Emotion Experiencer,2223128,,
"Democracy may cure the symptoms, but it will not cure what really ails the muslim world.",01 Health and Safety,Protection,Democracy,,cure,Democracy,Democracy,cure,Disease/Medicine,155913,,
The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.,01 Health and Safety,Protection,democracy,,cure,democracy,Democracy,cure,Disease/Medicine,163975,,
Is he that ignorant of how math works that he thinks the 5% additional tax on the select few will cure the woes and allow the government to keep spending like drunken sailors on leave?,01 Health and Safety,Protection,tax,,cure,tax,Taxation,cure,Disease/Medicine,2895900,,
"Are these the same limited-government Republicans who, post-9/11, sided with Bush when he expanded the Cabinet with the Department of Homeland Security -- demonstrating the Washington, D.C., axiom that another bureaucracy cures inefficient bureaucracy?",01 Health and Safety,Protection,bureaucracy,,cures,bureaucracy,Bureaucracy,cures,Disease/Medicine,2007433,,
"Some would have you believe that this legislation cures voter identity fraud, continued Wilson.",01 Health and Safety,Protection,legislation,,cures,legislation,Bureaucracy/Government,cures,Disease/Medicine,153423,,
"In the Middle East, the president's motto is: Democracy cures all ills.",01 Health and Safety,Protection,Democracy,,cures,Democracy,Democracy,cures,Disease/Medicine,2007193,,
"3 Robin Henderson In my life, I've found that poverty cures a million ills, or at least treats many of their symptoms.",01 Health and Safety,Protection,poverty,,cures,poverty,Poverty,cures,Disease/Medicine,761505,,
"Wealth cures the former, but you don't get lasting wealth without curing the latter and providing a liberal application of the cheapest energy you can get.",01 Health and Safety,Protection,Wealth,,cures,Wealth,Wealth,cures,Disease/Medicine,762852,,
"My thought was that if machine guns are ignored in the Heller decision, then if we do things right after a Heller win we can get some machine gun relief eventually.",01 Health and Safety,Protection,machine gun,,relief,machine gun,Guns,relief,Disease/Medicine,3124027,,
"Professor, I cannot agree that democracy is a remedy for discrimination.",01 Health and Safety,Protection,democracy,,remedy,democracy,Democracy,remedy,Disease/Medicine,163996,,
"In a lasseiz-faire society which applies caveat emptor, the government is a remedy to corruption.",01 Health and Safety,Protection,government,,remedy,government,Government,remedy,Disease/Medicine,761854,,
The view that democracy alleviates social disparities and income inequalities stems from the argument that political enfranchisement in the form of suffrage empowers those who are on the margins of society (Lipset 1959; Lenski 1966; Muller 1995).,01 Health and Safety,Protection,democracy,,alleviates,democracy,Democracy,alleviates,Disease/Medicine/Physical Burden,155626,,
Which means that gun control did NOT decrease the murder rate... Oh wait.. you even realize it.,01 Health and Safety,Protection,gun control,,decrease,gun control,Control of Guns,decrease,Downward Movement,2896114,,
"it really matters not because there are over 300 million guns legally owned in the USA. there is no evidence that any gun law would decrease crime and most of those that are proposed by anti gun extremists will make things worse. then again most gun laws are designed to harass gun owners, not impede criminals",01 Health and Safety,Protection,gun law,,decrease,gun law,Control of Guns,decrease,Downward Movement,2717853,,
We know your side is at least one of two things 1) ignorant-if they think gun restrictions will decrease crime when those laws mainly target honest people 2) dishonest-when they claim that crime control really motivates them when it does not,01 Health and Safety,Protection,gun restrictions,,decrease,gun restrictions,Control of Guns,decrease,Downward Movement,2912865,,
remind me the source of those alleged statistics? did you know that for 21 years FFL dealers have had to do background checks of buyers and there was not a SINGLE study that found those background checks decreased gun crime AT ALL. and those were comprehensive studies by groups trying to support the Brady Bill.,01 Health and Safety,Protection,background checks,,decreased,background checks,Control of Guns,decreased,Downward Movement/Medicine,3792164,,
How does additional taxes alleviate those issues??? PatentLaw,01 Health and Safety,Protection,taxes,,alleviate,taxes,Taxation,alleviate,Medicine,159317,,
Elbadawi and Sambanis (2000) have showed how democracy alleviates civil war.,01 Health and Safety,Protection,democracy,,alleviates,democracy,Democracy,alleviates,Medicine,1971995,,
An output tax alleviates the consumption and production distortions which arise in the absence of a perfect insurance market.,01 Health and Safety,Protection,tax,,alleviates,tax,Taxation,alleviates,Medicine,158649,,
"Sure, some progressive taxation alleviates much human suffering, but it's not the ultimate solution",01 Health and Safety,Protection,taxation,,alleviates,taxation,Taxation,alleviates,Medicine,1971573,,
"Somehow, a ""special election"" will cure all of Rochester's ills!",01 Health and Safety,Protection,election,,cure,election,Elections,cure,Medicine,762002,,
Guns cure everything.,01 Health and Safety,Protection,Guns,,cure,Guns,Guns,cure,Medicine,3123945,,
